source_layer,ui_section,ui_label,source_field_name,sfdc_object,sfdc_field_api_name,data_type,required,phase_usage,population_logic,notes
form,Lead Source Detail,How did you hear about us?,lead_source_detail__input,Lead,lead_source_detail__c,Picklist,No,1-3,"Dropdown values: none, google_search, yelp, referral, repeat_customer, social_media, other","Augments UTMs; not primary attribution"
form,Lead Source Detail,How did you hear about us? - Other text,lead_source_other_text__input,Lead,lead_source_other_text__c,Text,No,1-3,"Only populated when dropdown = other","Free-text description"

form,Other Comments,Other comments,other_comments__input,Lead,other_comments__c,Text Area,No,1-3,"Copied directly","General notes not captured elsewhere"

form,SMS Consent,SMS opt-in checkbox,sms_opt_in__input,Lead,sms_opt_in__c,Checkbox,No,1-3,"true when checked, false otherwise","Must not be pre-checked; drives downstream SMS behavior"

derived,Operational Persona,Operational Persona,,Lead,operational_persona__c,Picklist,No,1-3,"Derived from `property_type__c` (residential/commercial)","Used for routing, estimator assignment, and LP validation from Phase 3"
derived,Operational Surface (Primary),Operational Primary Surface,,Lead,operational_surface_primary__c,Picklist,No,1-3,"Derived from surfaces_multi__c using business rules (Siding > Deck > Structures > Furniture > Pressure)","Represents what the estimator should treat as the main surface"

derived,Surface Count,Number of Surfaces Selected,,Lead,surfaces_count__c,Number,No,1-3,"Count of items in surfaces_multi__c","Useful to identify multi-surface projects"

system,Core Lead Source,Lead Source (High Level),,Lead,LeadSource,Picklist,Yes,1-3,"Driven by UTM mapping rules: typically utm_source/medium/campaign","e.g. Google Ads - Deck, Google Ads - Siding, Yelp, etc."
system,Campaign Tag,Marketing Campaign,,Lead,Campaign__c,Lookup,No,1-3,"Optional: lookup to SFDC Campaign based on utm_campaign","For SFDC Campaign ROI reporting"
system,Opportunity Link,Primary Opportunity,,Opportunity,Primary_Lead__c,Lookup,No,1-3,"Standard or custom relation between Lead and resulting Opportunity","Used to connect job size and revenue back to this mapping"
