tab_name,surface,species,intent,regime,campaign,ad_group,asset_type,asset_text,cta,pinned,res_score,pm_hoa_score,recommended,keep,notes,status
Deck,Deck,Redwood,Repair & Maintenance,Premium,Bay Area Deck,Redwood Deck Repair & Maintenance,DESCRIPTION,"We diagnose and repair Redwood deck issues before they become major structural problems.","Request a Free Estimate",H3,3,3,Yes,,,
Deck,Deck,Cedar,Stain & Seal,Professional,Bay Area Deck,Cedar Deck Stain & Seal,HEADLINE,"Cedar Deck Stain and Seal Services","Request a Free Estimate",H3,3,2,Yes,,,
Deck,Deck,Cedar,Stain & Seal,Premium,Bay Area Deck,Cedar Deck Stain & Seal,HEADLINE,"Premium Cedar Deck Refinishing","Request a Free Estimate",H3,3,2,Yes,,,
Deck,Deck,Cedar,Stain & Seal,Outcome,Bay Area Deck,Cedar Deck Stain & Seal,HEADLINE,"Protect Cedar Decks From Sun, Rain and Mildew","Request a Free Estimate",H3,3,2,Yes,,,
Deck,Deck,Cedar,Repair & Maintenance,Professional,Bay Area Deck,Cedar Deck Repair & Maintenance,HEADLINE,"Cedar Deck Repair and Maintenance","Request a Free Estimate",H3,3,2,Yes,,,
Deck,Deck,Cedar,Repair & Maintenance,Outcome,Bay Area Deck,Cedar Deck Repair & Maintenance,HEADLINE,"Repair and Maintain Aging Cedar Decks","Request a Free Estimate",H3,3,2,Yes,,,
Deck,Deck,IPE,Stain & Seal,Premium,Bay Area Deck,IPE Deck Stain & Seal,HEADLINE,"Premium IPE Deck Refinishing Services","Request a Free Estimate",H3,3,3,Yes,,,
Deck,Deck,IPE,Stain & Seal,Outcome,Bay Area Deck,IPE Deck Stain & Seal,HEADLINE,"Protect High-End IPE Decks From Weather Damage","Request a Free Estimate",H3,3,3,Yes,,,
Deck,Deck,IPE,Stain & Seal,Professional,Bay Area Deck,IPE Deck Stain & Seal,HEADLINE,"IPE Deck Stain and Seal Specialists","Request a Free Estimate",H3,3,3,Yes,,,
Deck,Deck,Wood,Stain & Seal,Professional,Bay Area Deck,Wood Deck Stain & Seal,HEADLINE,"Wood Deck Stain and Seal Services","Request a Free Estimate",H3,3,2,Yes,,,
Deck,Deck,Wood,Stain & Seal,Outcome,Bay Area Deck,Wood Deck Stain & Seal,HEADLINE,"Restore and Protect Wood Decks","Request a Free Estimate",H3,3,2,Yes,,,
Siding,Siding,Redwood,Refinishing,Professional,Bay Area Siding,Redwood Wood Siding Refinishing,HEADLINE,"Redwood Wood Siding Refinishing","Request a Free Estimate",H3,2,3,Yes,,,
Siding,Siding,Redwood,Refinishing,Premium,Bay Area Siding,Redwood Wood Siding Refinishing,HEADLINE,"Premium Redwood Siding Refinishing Services","Request a Free Estimate",H3,2,3,Yes,,,
Siding,Siding,Redwood,Refinishing,Outcome,Bay Area Siding,Redwood Wood Siding Refinishing,HEADLINE,"Restore and Protect Natural Redwood Siding","Request a Free Estimate",H3,2,3,Yes,,,
Siding,Siding,Cedar,Repair & Maintenance,Professional,Bay Area Siding,Cedar Siding Repair & Maintenance,HEADLINE,"Cedar Siding Repair & Maintenance","Request a Free Estimate",H3,2,3,Yes,,,
Siding,Siding,Cedar,Repair & Maintenance,Premium,Bay Area Siding,Cedar Siding Repair & Maintenance,HEADLINE,"Professional Cedar Siding Repair and Maintenance","Request a Free Estimate",H3,2,3,Yes,,,
Siding,Siding,IPE,Refinishing,Premium,Bay Area Siding,IPE Siding Refinishing,HEADLINE,"Premium IPE Siding Refinishing Services","Request a Free Estimate",H3,1,3,Yes,,,
Siding,Siding,Wood,Repair & Maintenance,Professional,Bay Area Siding,Wood Siding Repair & Maintenance,HEADLINE,"Professional Wood Siding Repair and Maintenance","Request a Free Estimate",H3,2,3,Yes,,,
Siding,Siding,Wood,Refinishing,Outcome,Bay Area Siding,Wood Siding Refinishing,HEADLINE,"Restore & Protect Natural Wood Siding","Request a Free Estimate",H3,2,3,Yes,,,
Siding,Siding,Wood,Refinishing,Outcome,Bay Area Siding,Wood Siding Refinishing,DESCRIPTION,"Revitalize natural wood siding with professional refinishing services that restore color and grain while protecting against Bay Area weather.","Request a Free Estimate",H3,2,3,Yes,,,
Siding,Siding,Wood,Repair & Maintenance,Outcome,Bay Area Siding,Wood Siding Repair & Maintenance,DESCRIPTION,"Repair damaged boards, trim and problem areas so your wood siding is ready for long-term protection and refinishing.","Request a Free Estimate",H3,2,3,Yes,,,
Siding,Siding,Wood,Repair & Maintenance,Professional,Bay Area Siding,Wood Siding Repair & Maintenance,DESCRIPTION,"Professional siding repair and maintenance for single-family homes, multi-unit buildings and managed communities.","Request a Free Estimate",H3,2,3,Yes,,,
Siding,Siding,Redwood,Refinishing,Professional,Bay Area Siding,Redwood Wood Siding Refinishing,DESCRIPTION,"We clean, prep and refinish Redwood siding to restore its natural look and protect it from sun and moisture.","Request a Free Estimate",H3,2,3,Yes,,,
Exterior Wood + Furniture,Exterior Wood + Furniture,Redwood,Stain & Seal,Professional,Bay Area Exterior Wood,Redwood Fence Stain & Seal,HEADLINE,"Redwood Fence Stain and Seal Services","Request a Free Estimate",H3,3,2,Yes,,,
Exterior Wood + Furniture,Exterior Wood + Furniture,Redwood,Stain & Seal,Outcome,Bay Area Exterior Wood,Redwood Fence Stain & Seal,HEADLINE,"Protect Redwood Fences From Sun and Weather","Request a Free Estimate",H3,3,2,Yes,,,
Exterior Wood + Furniture,Exterior Wood + Furniture,Redwood,Repair & Maintenance,Professional,Bay Area Exterior Wood,Redwood Fence Repair & Maintenance,HEADLINE,"Redwood Fence Repair and Maintenance","Request a Free Estimate",H3,3,2,Yes,,,
Exterior Wood + Furniture,Exterior Wood + Furniture,Teak,Stain & Seal,Premium,Bay Area Exterior Wood,Teak Furniture Refinishing,HEADLINE,"Teak Outdoor Furniture Refinishing","Request a Free Estimate",H3,2,3,Yes,,,
Exterior Wood + Furniture,Exterior Wood + Furniture,Teak,Stain & Seal,Outcome,Bay Area Exterior Wood,Teak Furniture Refinishing,HEADLINE,"Restore and Protect Teak Outdoor Furniture","Request a Free Estimate",H3,2,3,Yes,,,
Exterior Wood + Furniture,Exterior Wood + Furniture,IPE,Stain & Seal,Premium,Bay Area Exterior Wood,IPE Exterior Wood Refinishing,HEADLINE,"Premium IPE Exterior Wood Refinishing","Request a Free Estimate",H3,2,3,Yes,,,
Exterior Wood + Furniture,Exterior Wood + Furniture,Wood,Stain & Seal,Professional,Bay Area Exterior Wood,Exterior Wood Stain & Seal,HEADLINE,"Exterior Wood Stain and Seal Services","Request a Free Estimate",H3,3,2,Yes,,,
Exterior Wood + Furniture,Exterior Wood + Furniture,Wood,Repair & Maintenance,Professional,Bay Area Exterior Wood,Exterior Wood Repair & Maintenance,HEADLINE,"Exterior Wood Repair and Maintenance","Request a Free Estimate",H3,3,2,Yes,,,
Exterior Wood + Furniture,Exterior Wood + Furniture,Wood,Repair & Maintenance,Outcome,Bay Area Exterior Wood,Exterior Wood Repair & Maintenance,DESCRIPTION,"Repair and maintain fences, pergolas, arbors and other exterior wood structures so they are safe and ready for refinishing.","Request a Free Estimate",H3,3,3,Yes,,,
Exterior Wood + Furniture,Exterior Wood + Furniture,Teak,Stain & Seal,Outcome,Bay Area Exterior Wood,Teak Furniture Refinishing,DESCRIPTION,"We clean, prep and refinish Teak outdoor sets so they look great and last longer in Bay Area conditions.","Request a Free Estimate",H3,2,3,Yes,,,
Exterior Wood + Furniture,Exterior Wood + Furniture,Teak,Repair & Maintenance,Professional,Bay Area Exterior Wood,Teak Furniture Repair & Maintenance,HEADLINE,"Teak Outdoor Furniture Repair and Maintenance","Request a Free Estimate",H3,1,3,Yes,,,
Pressure Washing,Pressure Washing,Surface General,Cleaning,Professional,Bay Area Pressure Washing,Exterior Surface Cleaning,HEADLINE,"Driveway and Hardscape Pressure Washing","Request a Free Estimate",H3,3,1,Yes,,,
Pressure Washing,Pressure Washing,Surface General,Cleaning,Premium,Bay Area Pressure Washing,Exterior Surface Cleaning,HEADLINE,"Professional Exterior Surface Cleaning Services","Request a Free Estimate",H3,3,2,Yes,,,
Pressure Washing,Pressure Washing,Surface General,Cleaning,Outcome,Bay Area Pressure Washing,Exterior Surface Cleaning,HEADLINE,"Improve Curb Appeal With Exterior Pressure Washing","Request a Free Estimate",H3,3,1,Yes,,,
Pressure Washing,Pressure Washing,Surface General,Cleaning,Outcome,Bay Area Pressure Washing,Exterior Surface Cleaning,DESCRIPTION,"Clean driveways, walkways and patios with professional pressure washing to remove dirt, grime, algae and stains.","Request a Free Estimate",H3,3,1,Yes,,,
Pressure Washing,Pressure Washing,Surface General,Cleaning,Professional,Bay Area Pressure Washing,Exterior Surface Cleaning,DESCRIPTION,"Request a free estimate for driveway, patio and hardscape pressure washing from a licensed, insured exterior specialist.","Request a Free Estimate",H3,3,1,Yes,,,
Pressure Washing,Pressure Washing,Surface General,Cleaning,Premium,Bay Area Pressure Washing,Exterior Surface Cleaning,DESCRIPTION,"We use the right equipment and methods to clean exterior surfaces without damaging wood, concrete or stone.","Request a Free Estimate",H3,3,2,Yes,,,
